id,breakdown_next_30_days
1356,1.0
889,0.0
1190,1.0
122,0.0
1101,0.0
782,0.0
366,0.0
1138,1.0
241,1.0
1240,0.0
412,0.0
1363,0.0
1473,0.0
1024,0.0
1344,0.0
331,0.0
771,1.0
854,0.0
279,0.0
985,0.0
1301,0.0
569,0.0
1164,1.0
1105,0.0
37,0.0
968,1.0
196,0.0
1384,0.0
564,0.0
1326,1.0
866,0.0
588,0.0
600,1.0
52,1.0
1469,0.0
1247,1.0
1233,0.0
1278,0.0
1385,0.0
1258,0.0
353,0.0
1206,0.0
733,0.0
1011,1.0
466,0.0
471,1.0
1262,0.0
392,0.0
1361,0.0
1189,0.0
847,0.0
635,1.0
199,0.0
458,0.0
899,1.0
23,1.0
86,0.0
1474,0.0
1423,0.0
1122,0.0
262,0.0
862,0.0
592,0.0
653,0.0
7,1.0
434,0.0
870,0.0
1080,0.0
235,0.0
1365,0.0
989,0.0
282,0.0
1108,0.0
1432,0.0
1481,0.0
1400,0.0
864,1.0
977,0.0
961,1.0
641,0.0
1037,0.0
756,0.0
1005,1.0
1299,1.0
1444,0.0
520,0.0
316,0.0
1059,0.0
43,0.0
761,0.0
1144,0.0
1291,1.0
275,1.0
163,0.0
426,1.0
225,0.0
459,1.0
629,0.0
768,0.0
1033,1.0
575,1.0
1450,0.0
645,0.0
1426,0.0
393,0.0
1145,1.0
1370,0.0
794,0.0
1285,0.0
730,0.0
1360,1.0
15,1.0
805,0.0
954,0.0
388,1.0
341,0.0
1433,1.0
493,1.0
179,1.0
195,0.0
56,1.0
1417,0.0
398,0.0
1014,1.0
1249,0.0
211,1.0
306,1.0
283,1.0
944,1.0
727,0.0
792,1.0
482,1.0
1079,0.0
1485,1.0
912,1.0
479,0.0
607,0.0
32,0.0
648,1.0
1359,0.0
247,0.0
669,0.0
1420,0.0
534,0.0
532,1.0
286,0.0
1422,0.0
232,0.0
379,0.0
1271,1.0
1086,1.0
1196,0.0
1013,0.0
1216,0.0
1281,0.0
861,0.0
228,0.0
310,0.0
93,0.0
1346,0.0
357,1.0
647,0.0
1148,1.0
1128,0.0
916,0.0
22,0.0
1430,1.0
766,0.0
505,1.0
1386,0.0
181,0.0
343,0.0
1296,0.0
949,0.0
625,0.0
617,0.0
1468,1.0
1334,1.0
566,0.0
996,0.0
290,0.0
924,0.0
1162,0.0
1463,0.0
1004,0.0
640,0.0
1268,0.0
266,0.0
465,0.0
657,0.0
886,0.0
555,0.0
14,0.0
1113,0.0
381,0.0
851,1.0
1349,0.0
134,1.0
51,1.0
102,1.0
1441,1.0
233,1.0
40,0.0
978,0.0
812,1.0
478,0.0
1141,0.0
1021,0.0
329,0.0
932,1.0
725,0.0
1368,1.0
729,0.0
818,0.0
67,1.0
576,0.0
1230,1.0
30,0.0
1250,0.0
224,0.0
370,0.0
1117,0.0
1103,0.0
1185,0.0
672,0.0
1491,0.0
470,0.0
1224,0.0
502,0.0
1165,0.0
1357,0.0
1151,0.0
1027,0.0
643,0.0
1186,0.0
1099,1.0
1056,0.0
591,1.0
1053,0.0
1066,0.0
612,0.0
91,0.0
1075,0.0
124,0.0
267,0.0
230,0.0
1437,0.0
1018,1.0
243,1.0
78,1.0
757,0.0
1176,0.0
436,0.0
1460,0.0
939,0.0
526,1.0
881,1.0
156,1.0
336,0.0
324,0.0
891,0.0
1220,0.0
1372,0.0
414,0.0
1232,0.0
1273,1.0
1198,0.0
507,0.0
161,0.0
383,0.0
683,0.0
202,0.0
860,0.0
1175,0.0
1276,0.0
136,0.0
1243,1.0
742,0.0
1197,0.0
1303,1.0
1471,1.0
969,0.0
1492,1.0
875,0.0
351,1.0
1295,0.0
1012,0.0
620,0.0
781,0.0
1072,0.0
140,0.0
402,0.0
162,1.0
26,0.0
920,0.0
486,0.0
8,0.0
763,0.0
984,0.0
1067,1.0
66,1.0
1277,0.0
1217,0.0
779,0.0
375,0.0
1155,0.0
2,0.0
856,0.0
700,0.0
138,1.0
155,0.0
391,0.0
1088,1.0
154,1.0
350,0.0
739,0.0
338,0.0
48,0.0
1246,0.0
49,0.0
1032,0.0
1300,1.0
369,0.0
1407,1.0
3,0.0
380,0.0
165,0.0
1143,1.0
29,0.0
433,0.0
1340,0.0
556,0.0
169,0.0
539,1.0
263,0.0
151,0.0
517,0.0
584,1.0
255,1.0
214,0.0
105,0.0
149,0.0
631,0.0
582,0.0
18,0.0
982,0.0
75,0.0
892,1.0
109,0.0
1244,0.0
953,1.0
1043,0.0
174,0.0
1106,0.0
531,0.0
1313,0.0
1161,0.0
1274,0.0
1369,1.0
323,1.0
487,0.0
411,0.0
292,0.0
288,0.0
853,0.0
1457,0.0
821,1.0
114,1.0
1409,0.0
1223,0.0
1321,0.0
1208,0.0
1069,1.0
702,0.0
1149,0.0
933,1.0
937,0.0
964,0.0
273,0.0
1388,1.0
1125,1.0
499,0.0
1226,0.0
1270,0.0
110,0.0
1179,0.0
294,0.0
1292,0.0
974,0.0
1398,0.0
1318,0.0
876,1.0
654,0.0
1306,1.0
72,0.0
1167,0.0
1095,1.0
674,0.0
813,0.0
16,1.0
258,0.0
552,0.0
611,0.0
565,0.0
1397,1.0
301,0.0
87,0.0
1022,1.0
115,0.0
1237,1.0
443,1.0
895,0.0
469,1.0
734,0.0
404,0.0
721,0.0
952,1.0
319,0.0
1221,0.0
522,0.0
609,1.0
675,0.0
767,1.0
913,0.0
484,0.0
796,1.0
1218,0.0
596,0.0
994,0.0
627,0.0
1096,1.0
587,1.0
1047,1.0
1100,0.0
481,0.0
1109,0.0
541,1.0
925,1.0
618,1.0
878,0.0
1499,0.0
223,1.0
1157,0.0
704,1.0
1389,1.0
589,0.0
694,1.0
50,1.0
437,0.0
403,1.0
